Molecule,Variability_CV,VirtualProfileId,ParameterSetId,PopulationIndividualId,Dose_mg_kg,AUC0_28d_ug_h_mL,Cmax_ug_mL,Lambda_z_1_h,AUCinf_ug_h_mL,Terminal_CL_L_day,Profile_type
Golimumab,0.3,1036,21,35,3,10089.84877759131,87.02724874019623,0.004459968396715537,10572.774485836006,0.042424992743136866,Sparse reduced-study candidate
Golimumab,0.3,1036,21,35,10,33155.3953242032,290.0658130645752,0.0044546066632607205,34747.78695447573,0.043029107764865314,Sparse reduced-study candidate
Golimumab,0.3,1036,21,35,30,95497.54859259029,869.9089765548706,0.004446446236431624,100114.82581564243,0.0448035420510447,Sparse reduced-study candidate
Golimumab,0.3,1037,21,36,0.1,210.87545544746297,1.818626280874014,0.004561075380797242,220.3035451660388,0.042546721848464995,Sparse reduced-study candidate
Golimumab,0.3,1037,21,36,1,2117.6256012832123,18.186253309249878,0.004470752436638823,2218.272160007547,0.04225447998399938,Sparse reduced-study candidate
Golimumab,0.3,1037,21,36,3,6339.324857607686,54.55804020166397,0.004462066852745433,6642.331064149963,0.04233390462423319,Sparse reduced-study candidate
Golimumab,0.3,1037,21,36,10,20944.87173641078,181.8508744239807,0.004456953887598944,21949.28255736266,0.042703872593166166,Sparse reduced-study candidate
Golimumab,0.3,1037,21,36,30,61237.37150175318,545.4556703567505,0.004449896963569984,64187.89761225727,0.043808228686806054,Sparse reduced-study candidate
Golimumab,0.3,1038,21,37,0.1,320.2721667488562,2.7569035068154335,0.004532035287719013,334.89284859235426,0.042428641016048436,Sparse reduced-study candidate
Golimumab,0.3,1038,21,37,1,3208.736299486145,27.568886429071426,0.004466505544430038,3361.6649479511684,0.04226789008353387,Sparse reduced-study candidate
Golimumab,0.3,1038,21,37,3,9591.569279737752,82.70494937896729,0.004460178962915636,10050.584034342253,0.04241260528706206,Sparse reduced-study candidate
Golimumab,0.3,1038,21,37,10,31540.833792540507,275.6607413291931,0.004454896648563097,33055.39259827892,0.04298556857106176,Sparse reduced-study candidate
Golimumab,0.3,1038,21,37,30,91024.56931910446,826.7266988754272,0.004447001670990951,95423.44021051508,0.044671566295723775,Sparse reduced-study candidate
Golimumab,0.3,1039,21,38,0.1,248.38316270685806,2.140332804992795,0.0045485123685519106,259.58865755776725,0.04249515519984168,Sparse reduced-study candidate
Golimumab,0.3,1039,21,38,1,2491.8962190021643,21.403279155492783,0.004468899187812939,2610.474690299776,0.04225767954014942,Sparse reduced-study candidate
Golimumab,0.3,1039,21,38,3,7455.881256840944,64.20882493257523,0.004461283344637789,7812.436908671131,0.04236038160689192,Sparse reduced-study candidate
Golimumab,0.3,1039,21,38,10,24593.972061319724,214.0163540840149,0.004456204871257495,25773.944686174353,0.04280004642422181,Sparse reduced-study candidate
Golimumab,0.3,1039,21,38,30,71582.38104708664,641.9080495834351,0.0044482311633283166,75035.40248366888,0.04410422251058137,Sparse reduced-study candidate
Golimumab,0.3,1040,21,39,0.1,192.29888851744977,1.6592847649008036,0.004568901482811569,200.8483975866065,0.042579140940828354,Sparse reduced-study candidate
Golimumab,0.3,1040,21,39,1,1932.1865932594767,16.592855751514435,0.004471923806271501,2023.9492775286212,0.04225378730351463,Sparse reduced-study candidate
Golimumab,0.3,1040,21,39,3,5785.729058003751,49.77797716856003,0.004462542317548225,6062.189433058275,0.04232110686913322,Sparse reduced-study candidate
Golimumab,0.3,1040,21,39,10,19131.238228922924,165.91894626617432,0.0044573521783797514,20048.441844792695,0.042656443302604576,Sparse reduced-study candidate
Golimumab,0.3,1040,21,39,30,56060.918212609125,497.67812490463257,0.00445073848687389,58760.45414255773,0.043661773994284836,Sparse reduced-study candidate
Golimumab,0.3,1041,21,40,0.1,351.7697507655683,3.027047775685787,0.004526784895449013,367.8890791542359,0.042407795990328505,Sparse reduced-study candidate
Golimumab,0.3,1041,21,40,1,3522.6166252567814,30.270277708768845,0.004465746735240007,3690.5879510398754,0.042273386308126715,Sparse reduced-study candidate
Golimumab,0.3,1041,21,40,3,10525.535746893127,90.80876111984253,0.004459794605734986,11029.370686527067,0.04243587089216388,Sparse reduced-study candidate
Golimumab,0.3,1041,21,40,10,34565.21206901945,302.66844034194946,0.00445435630722054,36225.58846016047,0.04306725074459575,Sparse reduced-study candidate
Golimumab,0.3,1041,21,40,30,99389.64996353751,907.685923576355,0.004445963994142155,104197.15038751587,0.0449187860449739,Sparse reduced-study candidate
Golimumab,0.3,1042,21,41,0.1,375.82845464511047,3.2333931885659695,0.004523325887747496,393.09316139588805,0.042394184889557124,Sparse reduced-study candidate
Golimumab,0.3,1042,21,41,1,3762.2888090248116,32.33368992805481,0.0044652463242303144,3941.7471101762817,0.042277862321544304,Sparse reduced-study candidate
Golimumab,0.3,1042,21,41,3,11238.207869692726,96.99868261814117,0.0044589668316487785,11776.316521678262,0.042453506066248786,Sparse reduced-study candidate
Golimumab,0.3,1042,21,41,10,36867.44484250659,323.2973098754883,0.004453953008515286,38638.88398307237,0.0431297761351975,Sparse reduced-study candidate
Golimumab,0.3,1042,21,41,30,105718.58200403267,969.5179224014282,0.004445180946779222,110835.7644975557,0.04510691356328032,Sparse reduced-study candidate
Golimumab,0.3,1043,21,42,0.1,169.55481511701794,1.464183535426855,0.004580522906481583,177.0307538898839,0.0426276561277351,Sparse reduced-study candidate
Golimumab,0.3,1043,21,42,1,1705.0745859124595,14.641861617565155,0.00447368967589861,1785.9578648791608,0.042254110521035546,Sparse reduced-study candidate
Golimumab,0.3,1043,21,42,3,5107.3841372166135,43.92513334751129,0.004463239282819897,5351.320750583303,0.0423058518779449,Sparse reduced-study candidate
Golimumab,0.3,1043,21,42,10,16904.95363790451,146.41122221946716,0.004457875788334474,17715.151456308817,0.042598597700186216,Sparse reduced-study candidate
Golimumab,0.3,1043,21,42,30,49674.543740216526,439.1742467880249,0.0044517875282053445,52064.82942620957,0.0434827474747442,Sparse reduced-study candidate
Golimumab,0.3,1044,21,43,0.1,362.8122200870426,3.1217560172080994,0.004525144559867799,379.4571890507729,0.042401328217470426,Sparse reduced-study candidate
Golimumab,0.3,1044,21,43,1,3632.6297775410726,31.217341125011444,0.004465509530973445,3805.8737233956276,0.04227541423278067,Sparse reduced-study candidate
Golimumab,0.3,1044,21,43,3,10852.715338700964,93.64981055259705,0.004459669445001155,11372.253302840849,0.042444065539943544,Sparse reduced-study candidate
Golimumab,0.3,1044,21,43,10,35622.736096041874,312.136709690094,0.004454170149902308,37334.12223419215,0.04309593437470754,Sparse reduced-study candidate
Golimumab,0.3,1044,21,43,30,102300.92969221808,936.0663414001465,0.004445603673855338,107250.82681906526,0.04500521616834871,Sparse reduced-study candidate
Golimumab,0.3,1045,21,44,0.1,236.2196601888374,2.036007447168231,0.004552192275501614,246.84832268845915,0.04251019356071839,Sparse reduced-study candidate
Golimumab,0.3,1045,21,44,1,2370.5434107727847,20.360038429498672,0.004469438972526608,2483.307443672628,0.04225642702582914,Sparse reduced-study candidate
Golimumab,0.3,1045,21,44,3,7093.963084929696,61.07920557260513,0.00446151641207283,7433.16003965915,0.04235171819913992,Sparse reduced-study candidate
Golimumab,0.3,1045,21,44,10,23412.45612480003,203.5856008529663,0.004456441123365858,24535.57050387144,0.04276880366800235,Sparse reduced-study candidate
Golimumab,0.3,1045,21,44,30,68243.02225646723,610.6312036514282,0.004448766988707216,71533.70659658842,0.04400821854571225,Sparse reduced-study candidate
Golimumab,0.3,1046,21,45,0.1,207.61662097351316,1.790673891082406,0.004562357854102425,216.89048873716263,0.04255201848526405,Sparse reduced-study candidate
Golimumab,0.3,1046,21,45,1,2085.098081695783,17.906732484698296,0.004470943410460095,2184.1862982193916,0.04225430813088396,Sparse reduced-study candidate
Golimumab,0.3,1046,21,45,3,6242.237784259216,53.719501197338104,0.004462145346808262,6540.588283476833,0.04233164213685544,Sparse reduced-study candidate
Golimumab,0.3,1046,21,45,10,20627.015287341663,179.0560483932495,0.004457022260140779,21616.139865398385,0.04269554205094243,Sparse reduced-study candidate
Golimumab,0.3,1046,21,45,30,60331.83695586271,537.0745539665222,0.00445004365087487,63238.43522555258,0.043782525863128134,Sparse reduced-study candidate
Golimumab,0.3,1047,21,46,0.1,212.89120717672333,1.8359159119427204,0.004560299599679631,222.4147104177519,0.04254351906941817,Sparse reduced-study candidate
Golimumab,0.3,1047,21,46,1,2137.7446096637977,18.359148502349854,0.004470637257114669,2239.3550430282226,0.0422545969360049,Sparse reduced-study candidate
Golimumab,0.3,1047,21,46,3,6399.3716522483555,55.07671236991882,0.004462019467547581,6705.257341756495,0.0423353079160032,Sparse reduced-study candidate
Golimumab,0.3,1047,21,46,10,21141.415988279743,183.57959389686584,0.004456911935407381,22155.279396594953,0.042709027968435405,Sparse reduced-study candidate
Golimumab,0.3,1047,21,46,30,61796.94487390409,550.6397366523743,0.00444980627396431,64774.62085019471,0.043824129032852384,Sparse reduced-study candidate
Golimumab,0.3,1048,21,47,0.1,353.64361474095256,3.0431192368268967,0.00452649985090208,369.85213480664015,0.04240667035925893,Sparse reduced-study candidate
Golimumab,0.3,1048,21,47,1,3541.2864523331673,30.43099120259285,0.004465705625789074,3710.1525489350192,0.04227372690353515,Sparse reduced-study candidate
Golimumab,0.3,1048,21,47,3,10581.066202297206,91.29087030887604,0.004459773100978975,11087.566245333992,0.04243725958078618,Sparse reduced-study candidate
Golimumab,0.3,1048,21,47,10,34744.77182000502,304.27515506744385,0.004454324715791313,36413.80836151841,0.043072115409351734,Sparse reduced-study candidate
Golimumab,0.3,1048,21,47,30,99884.45660220072,912.5020980834961,0.0044459026642069245,104716.15229120507,0.04493346218106986,Sparse reduced-study candidate
Golimumab,0.3,1049,21,48,0.1,265.1888388433134,2.284471783787012,0.004543933625269328,277.19187803272314,0.04247652910391098,Sparse reduced-study candidate
Golimumab,0.3,1049,21,48,1,2659.531414725113,22.844649106264114,0.004468230617893654,2786.1422144321677,0.042259683707582554,Sparse reduced-study candidate
Golimumab,0.3,1049,21,48,3,7955.654008312913,68.5327872633934,0.004460987821985848,8336.182302785772,0.042372449810832616,Sparse reduced-study candidate
Golimumab,0.3,1049,21,48,10,26223.485140950514,228.4276306629181,0.004455886957453129,27481.89768090605,0.0428432891037404,Sparse reduced-study candidate
Golimumab,0.3,1049,21,48,30,76172.13606550195,685.1187944412231,0.004447497056070784,79848.4876548041,0.04423683861938359,Sparse reduced-study candidate
