Molecule,Variability_CV,Design,N_per_group,Total_animals,Dose_mg_kg,Endpoint,Fraction_within_2fold,Median_fold_error,Fold_error_5th_percentile,Fold_error_95th_percentile
Golimumab,0.5,3 dose groups,6,18,3,AUC0-28d,0.999,1.061083990469165,0.8119013320777676,1.4175071178122374
Golimumab,0.5,3 dose groups,6,18,3,Cmax,1,0.8955622634458839,0.7580483269614118,1.0236547770076336
Golimumab,0.5,3 dose groups,6,18,3,Terminal clearance,0.999,0.9147025348845855,0.6946967751162613,1.143765462053228
Golimumab,0.5,3 dose groups,6,18,10,AUC0-28d,1,1.060822876453826,0.7966511054821473,1.3961435887833569
Golimumab,0.5,3 dose groups,6,18,10,Cmax,1,0.8912011988520134,0.7535108335378058,1.0266757938356832
Golimumab,0.5,3 dose groups,6,18,10,Terminal clearance,1,0.9051278540453759,0.695958373526033,1.162812457495427
Golimumab,0.5,5 dose groups,2,10,0.1,AUC0-28d,0.974,1.0506124699691892,0.631484691003663,1.6702076300192128
Golimumab,0.5,5 dose groups,2,10,0.1,Cmax,1,0.8844269237722802,0.6692072012198728,1.1411096266977325
Golimumab,0.5,5 dose groups,2,10,0.1,Terminal clearance,0.965,0.8907276786978185,0.5259817293665073,1.3673892895629034
Golimumab,0.5,5 dose groups,2,10,1,AUC0-28d,0.975,1.0246545135317868,0.6215203072853768,1.6786400214412882
Golimumab,0.5,5 dose groups,2,10,1,Cmax,1,0.8844903776609363,0.6732160153570124,1.137496461646923
Golimumab,0.5,5 dose groups,2,10,1,Terminal clearance,0.969,0.8902321355996698,0.5488509735353209,1.3677501835113475
Golimumab,0.5,5 dose groups,2,10,3,AUC0-28d,0.987,1.028690262809107,0.6413940143871767,1.6243817963773288
Golimumab,0.5,5 dose groups,2,10,3,Cmax,1,0.8883309844231071,0.6493144225959421,1.132101421808569
Golimumab,0.5,5 dose groups,2,10,3,Terminal clearance,0.972,0.8926485178439488,0.5519020913792135,1.3860345816065112
Golimumab,0.5,5 dose groups,2,10,10,AUC0-28d,0.981,1.061430243382483,0.6357696657677206,1.694188127067981
Golimumab,0.5,5 dose groups,2,10,10,Cmax,1,0.9055881467073957,0.6730101082923009,1.14139888123687
Golimumab,0.5,5 dose groups,2,10,10,Terminal clearance,0.967,0.8836115881495452,0.5414386284740883,1.3820319951316027
Golimumab,0.5,5 dose groups,2,10,30,AUC0-28d,0.985,1.0253531660171367,0.6391536915678506,1.703762573361442
Golimumab,0.5,5 dose groups,2,10,30,Cmax,1,0.8855637151458362,0.6647723768946855,1.1292895933308946
Golimumab,0.5,5 dose groups,2,10,30,Terminal clearance,0.972,0.8910039854299316,0.549278577243418,1.3522779421796536
Golimumab,0.5,5 dose groups,3,15,0.1,AUC0-28d,0.995,1.0518975272312088,0.6941722454113775,1.5594045404722983
Golimumab,0.5,5 dose groups,3,15,0.1,Cmax,1,0.894171791912834,0.7010869690842768,1.0995730567737327
Golimumab,0.5,5 dose groups,3,15,0.1,Terminal clearance,0.987,0.9034901692149242,0.6161204721244009,1.2614682143754248
